Word,Frequency,Rank,R*F
un,189,1.0,189.0
datu,188,2.0,376.0
inspekcijas,82,3.0,246.0
vai,77,4.0,308.0
par,76,5.0,380.0
ir,71,6.0,426.0
ar,53,7.0,371.0
aizsardzības,49,8.0,392.0
pants,47,9.0,423.0
regulas,44,10.0,440.0
ja,43,11.0,473.0
no,38,12.0,456.0
panta,37,13.0,481.0
uz,33,14.0,462.0
kā,31,15.0,465.0
darbības,30,16.0,480.0
inspekcija,29,17.0,493.0
valsts,28,18.0,504.0
informācijas,28,19.0,532.0
šā,27,20.0,540.0
direktora,26,21.0,546.0
arī,25,22.0,550.0
kas,24,23.0,552.0
informāciju,24,24.0,576.0
likuma,23,25.0,575.0
speciālistu,23,26.0,598.0
personas,22,27.0,594.0
ministru,21,28.0,588.0
tiesības,21,29.0,609.0
lai,20,30.0,600.0
nav,20,31.0,620.0
apstrādes,19,32.0,608.0
spēkā,19,33.0,627.0
to,18,34.0,612.0
pantā,17,35.0,595.0
subjekta,16,36.0,576.0
var,16,37.0,592.0
datus,16,38.0,608.0
apstrāde,16,39.0,624.0
likumā,15,40.0,600.0
amata,15,41.0,615.0
tiek,15,42.0,630.0
personu,14,43.0,602.0
veic,14,44.0,616.0
direktors,14,45.0,630.0
laikā,14,46.0,644.0
lēmumu,14,47.0,658.0
sabiedrības,14,48.0,672.0
apstrādi,13,49.0,637.0
sertifikācijas,13,50.0,650.0
kvalifikācijas,13,51.0,663.0
pēc,13,52.0,676.0
dienas,13,53.0,689.0
līdz,13,54.0,702.0
attiecībā,12,55.0,660.0
aktu,12,56.0,672.0
tās,12,57.0,684.0
prasībām,12,58.0,696.0
atbilstoši,12,59.0,708.0
prasības,12,60.0,720.0
procesuālās,12,61.0,732.0
ko,11,62.0,682.0
kabinets,11,63.0,693.0
kad,11,64.0,704.0
saskaņā,11,65.0,715.0
stājas,11,66.0,726.0
tā,11,67.0,737.0
likumu,10,68.0,680.0
nodaļa,10,69.0,690.0
jomā,10,70.0,700.0
inspekcijai,10,71.0,710.0
tiesību,10,72.0,720.0
institūciju,10,73.0,730.0
akreditācijas,10,74.0,740.0
kārtību,10,75.0,750.0
daļa,10,76.0,760.0
institūcijas,9,77.0,693.0
normatīvo,9,78.0,702.0
tīmekļvietnē,9,79.0,711.0
pārziņa,9,80.0,720.0
persona,9,81.0,729.0
kuras,9,82.0,738.0
netiek,9,83.0,747.0
sarakstā,9,84.0,756.0
kodeksa,9,85.0,765.0
pirmā,9,86.0,774.0
gada,8,87.0,696.0
noteiktās,8,88.0,704.0
noteiktajā,8,89.0,712.0
ne,8,90.0,720.0
pilnvaru,8,91.0,728.0
viņa,8,92.0,736.0
apturēšanas,8,93.0,744.0
daļas,8,94.0,752.0
rīcības,8,95.0,760.0
nolūkos,8,96.0,768.0
nr,8,97.0,776.0
šādu,7,98.0,686.0
eiropas,7,99.0,693.0
fiziskās,7,100.0,700.0
dati,7,101.0,707.0
savā,7,102.0,714.0
atbilstību,7,103.0,721.0
administratīvā,7,104.0,728.0
pilnvaras,7,105.0,735.0
nosaka,7,106.0,742.0
kuru,7,107.0,749.0
pienākumus,7,108.0,756.0
daļā,7,109.0,763.0
viņu,7,110.0,770.0
kārtībā,7,111.0,777.0
datumu,7,112.0,784.0
punktā,7,113.0,791.0
pārraudzības,7,114.0,798.0
nolūku,7,115.0,805.0
vajadzībām,7,116.0,812.0
likums,6,117.0,702.0
padomes,6,118.0,708.0
kabineta,6,119.0,714.0
pārvaldes,6,120.0,720.0
pilda,6,121.0,726.0
pieejamības,6,122.0,732.0
informē,6,123.0,738.0
normatīvajos,6,124.0,744.0
aktos,6,125.0,750.0
saņemt,6,126.0,756.0
direktoru,6,127.0,762.0
amatā,6,128.0,768.0
iestādes,6,129.0,774.0
darba,6,130.0,780.0
direktoram,6,131.0,786.0
vismaz,6,132.0,792.0
viņš,6,133.0,798.0
noteiktajiem,6,134.0,804.0
speciālista,6,135.0,810.0
saraksta,6,136.0,816.0
institūcija,6,137.0,822.0
darbdienu,6,138.0,828.0
noteikumi,5,139.0,695.0
šajā,5,140.0,700.0
noteiktos,5,141.0,705.0
darbībā,5,142.0,710.0
inspekcijā,5,143.0,715.0
tieslietu,5,144.0,720.0
aizliegts,5,145.0,725.0
subjektam,5,146.0,730.0
eksāmenu,5,147.0,735.0
sniedz,5,148.0,740.0
citu,5,149.0,745.0
punktu,5,150.0,750.0
institūcijām,5,151.0,755.0
ka,5,152.0,760.0
dokumentus,5,153.0,765.0
ierobežotas,5,154.0,770.0
pārbaudes,5,155.0,775.0
grozījumiem,5,156.0,780.0
amatu,5,157.0,785.0
pretendentu,5,158.0,790.0
drošības,5,159.0,795.0
personai,5,160.0,800.0
pamatiem,5,161.0,805.0
pret,5,162.0,810.0
brīdim,5,163.0,815.0
izņemot,5,164.0,820.0
mērķi,5,165.0,825.0
saņemšanas,5,166.0,830.0
informācija,5,167.0,835.0
iekļauj,5,168.0,840.0
adresi,5,169.0,845.0
normatīvajiem,5,170.0,850.0
aktiem,5,171.0,855.0
piecu,5,172.0,860.0
termiņu,5,173.0,865.0
licences,5,174.0,870.0
nepieciešama,5,175.0,875.0
interesēs,5,176.0,880.0
bet,5,177.0,885.0
šo,5,178.0,890.0
intereses,5,179.0,895.0
auditācijas,5,180.0,900.0
punkts,5,181.0,905.0
fizisko,4,182.0,728.0
turpmāk,4,183.0,732.0
darbību,4,184.0,736.0
uzraudzības,4,185.0,740.0
uzdevumus,4,186.0,744.0
ievērojot,4,187.0,748.0
neattiecas,4,188.0,752.0
uzdevumu,4,189.0,756.0
nosaukumu,4,190.0,760.0
pārzinim,4,191.0,764.0
nodrošina,4,192.0,768.0
savai,4,193.0,772.0
kompetencei,4,194.0,776.0
kabinetam,4,195.0,780.0
citām,4,196.0,784.0
punkta,4,197.0,788.0
noteiktajām,4,198.0,792.0
kritērijiem,4,199.0,796.0
latvijas,4,200.0,800.0
publicē,4,201.0,804.0
novēršanu,4,202.0,808.0
veikt,4,203.0,812.0
pārbaude,4,204.0,816.0
pārkāpuma,4,205.0,820.0
procesu,4,206.0,824.0
pieprasīt,4,207.0,828.0
personām,4,208.0,832.0
citas,4,209.0,836.0
ietvaros,4,210.0,840.0
dienesta,4,211.0,844.0
izdarīti,4,212.0,848.0
komisijas,4,213.0,852.0
apstiprina,4,214.0,856.0
atklātu,4,215.0,860.0
komisija,4,216.0,864.0
kura,4,217.0,868.0
kāds,4,218.0,872.0
attiecīgu,4,219.0,876.0
pieņemšanas,4,220.0,880.0
viņam,4,221.0,884.0
tādas,4,222.0,888.0
iesniedz,4,223.0,892.0
izpaust,4,224.0,896.0
izpildi,4,225.0,900.0
laiku,4,226.0,904.0
informācijai,4,227.0,908.0
protokolā,4,228.0,912.0
vārdu,4,229.0,916.0
uzvārdu,4,230.0,920.0
tikai,4,231.0,924.0
pārzinis,4,232.0,928.0
eksāmena,4,233.0,932.0
aktualizē,4,234.0,936.0
attiecīgo,4,235.0,940.0
vēlāk,4,236.0,944.0
stāšanās,4,237.0,948.0
ciktāl,4,238.0,952.0
procesā,4,239.0,956.0
redakcijā,4,240.0,960.0
administratīvo,4,241.0,964.0
izpildītu,4,242.0,968.0
sasniegšanai,4,243.0,972.0
pantu,4,244.0,976.0
subjekts,4,245.0,980.0
oficiālajā,4,246.0,984.0
apstrādā,4,247.0,988.0
vārda,4,248.0,992.0
brīvību,4,249.0,996.0
nosacījumi,4,250.0,1000.0
novērstu,4,251.0,1004.0
naudas,4,252.0,1008.0
ceturtā,4,253.0,1012.0
parlamenta,3,254.0,762.0
aprīļa,3,255.0,765.0
es,3,256.0,768.0
